Developer,Num_commits,Num_bugs,PR_opened,PR_closed,PR_merged
0,26,25,0,0,32
1,1,1,0,0,1
2,28,44,0,0,17
3,2,0,0,0,0
4,1,0,0,0,0
5,20,1,0,0,2
6,1,0,0,0,0
7,427,284,5,0,539
8,1,0,0,0,0
9,1,0,0,0,0
10,4,12,2,0,208
11,5,22,4,0,34
12,13,16,0,0,3
13,2,0,0,0,11
14,10,26,1,0,113
15,61,6,0,0,173
16,1,1,1,0,0
17,1,10,0,0,158
18,1,2,0,0,2
19,62,16,3,0,609
20,1,1,1,0,0
21,1,0,0,0,0
22,1,0,0,0,0
23,3,0,0,0,1
24,1,0,0,0,0
25,1,2,0,0,5
26,2,5,2,0,3
27,2,0,0,0,0
28,2,0,0,0,0
29,1,0,0,0,0
30,2,0,0,0,0
31,36,32,1,0,511
32,1,3,1,0,2
33,1,0,0,0,0
34,1,0,0,0,0
35,1,0,0,0,0
36,1,0,0,0,0
37,1,0,0,0,0
38,1,0,0,0,0
39,2,2,0,0,6
40,1,1,1,0,0
41,1,4,1,0,49
42,9,3,1,0,266
43,1,0,0,0,0
44,0,1,0,0,0
45,0,1,0,0,1
46,0,1,0,0,1
47,0,1,1,0,0
48,0,1,0,0,1
49,0,1,0,0,16
50,0,5,0,0,19
51,0,2,1,0,0
52,0,1,0,0,0
53,0,1,1,0,0
54,0,1,1,0,0
55,0,2,1,0,2
56,0,1,0,0,1
57,0,1,0,0,1
